DEBUG 2023-12-18 10:45:11,999 autoreload 14348 15772 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.496.0_x64__qbz5n2kfra8p0\Lib\email\errors.py first seen with mtime 1669201793.598223
DEBUG 2023-12-18 10:45:11,999 autoreload 14348 15772 File D:\perso\python\openclassrooms\projet en cours\Python-OC-Lettings-FR\Python-OC-Lettings-FR\venv\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1702892666.0476089
DEBUG 2023-12-18 10:45:11,999 autoreload 14348 15772 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.496.0_x64__qbz5n2kfra8p0\DLLs\_ssl.pyd first seen with mtime 1702384897.5741029
DEBUG 2023-12-18 10:45:11,999 autoreload 14348 15772 File D:\perso\python\openclassrooms\projet en cours\Python-OC-Lettings-FR\Python-OC-Lettings-FR\venv\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1702892666.8360753
DEBUG 2023-12-18 10:45:12,000 autoreload 14348 15772 File D:\perso\python\openclassrooms\projet en cours\Python-OC-Lettings-FR\Python-OC-Lettings-FR\venv\Lib\site-packages\sentry_sdk\monitor.py first seen with mtime 1702892700.9760191
DEBUG 2023-12-18 10:45:12,000 autoreload 14348 15772 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.496.0_x64__qbz5n2kfra8p0\Lib\warnings.py first seen with mtime 1698312078.4560897
DEBUG 2023-12-18 10:45:12,000 autoreload 14348 15772 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.496.0_x64__qbz5n2kfra8p0\Lib\reprlib.py first seen with mtime 1702384898.641402
DEBUG 2023-12-18 10:45:12,000 autoreload 14348 15772 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.496.0_x64__qbz5n2kfra8p0\Lib\json\scanner.py first seen with mtime 1669201793.9880362
DEBUG 2023-12-18 10:45:12,000 autoreload 14348 15772 File D:\perso\python\openclassrooms\projet en cours\Python-OC-Lettings-FR\Python-OC-Lettings-FR\venv\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1702892666.591442
DEBUG 2023-12-18 10:45:12,000 autoreload 14348 15772 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.496.0_x64__qbz5n2kfra8p0\Lib\operator.py first seen with mtime 1697388587.8022442
